,CANTIDAD_DISCORDANTE,CODIGO_NO_COINCIDE,CONSISTENTE,DIAGNOSTICO_NO_RELACIONADO,NO_FACTURADO,SIN_SOPORTE_CLINICO
CANTIDAD_DISCORDANTE,14,0,0,0,0,0
CODIGO_NO_COINCIDE,0,21,1,0,2,0
CONSISTENTE,117,0,217,141,0,21
DIAGNOSTICO_NO_RELACIONADO,8,0,9,13,0,0
NO_FACTURADO,0,0,0,0,30,0
SIN_SOPORTE_CLINICO,5,2,7,7,0,11
