,CANTIDAD_DISCORDANTE,CODIGO_NO_COINCIDE,CONSISTENTE,DIAGNOSTICO_NO_RELACIONADO,NO_FACTURADO,SIN_SOPORTE_CLINICO
CANTIDAD_DISCORDANTE,14,0,0,0,0,0
CODIGO_NO_COINCIDE,1,23,0,0,0,0
CONSISTENTE,0,0,493,3,0,0
DIAGNOSTICO_NO_RELACIONADO,0,0,27,3,0,0
NO_FACTURADO,0,0,0,0,30,0
SIN_SOPORTE_CLINICO,0,0,19,0,0,13
