,CANTIDAD_DISCORDANTE,CODIGO_NO_COINCIDE,CONSISTENTE,DIAGNOSTICO_NO_RELACIONADO,NO_FACTURADO,SIN_SOPORTE_CLINICO
CANTIDAD_DISCORDANTE,14,0,0,0,0,0
CODIGO_NO_COINCIDE,0,24,0,0,0,0
CONSISTENTE,0,0,387,87,0,22
DIAGNOSTICO_NO_RELACIONADO,0,0,20,10,0,0
NO_FACTURADO,0,0,0,0,30,0
SIN_SOPORTE_CLINICO,0,0,14,4,0,14
