,CANTIDAD_DISCORDANTE,CODIGO_NO_COINCIDE,CONSISTENTE,DIAGNOSTICO_NO_RELACIONADO,NO_FACTURADO,SIN_SOPORTE_CLINICO
CANTIDAD_DISCORDANTE,14,0,0,0,0,0
CODIGO_NO_COINCIDE,0,21,0,0,1,2
CONSISTENTE,144,0,306,46,0,0
DIAGNOSTICO_NO_RELACIONADO,9,0,17,4,0,0
NO_FACTURADO,0,0,0,0,29,1
SIN_SOPORTE_CLINICO,5,0,12,2,9,4
