,CANTIDAD_DISCORDANTE,CODIGO_NO_COINCIDE,CONSISTENTE,DIAGNOSTICO_NO_RELACIONADO,NO_FACTURADO,SIN_SOPORTE_CLINICO
CANTIDAD_DISCORDANTE,0,0,14,0,0,0
CODIGO_NO_COINCIDE,0,20,3,0,1,0
CONSISTENTE,0,0,496,0,0,0
DIAGNOSTICO_NO_RELACIONADO,0,0,30,0,0,0
NO_FACTURADO,0,0,2,0,28,0
SIN_SOPORTE_CLINICO,0,4,20,0,5,3
